X,Y,fid,NOM,PHOTO,Adresse,Code Postal,Commune,ERP CAT,ERP TYPE,N° CADASTRE,CADASTRE,Qualité Juridique d'occupation,DATE ACTE PRIMITIF CADASTRE,ANNÉE DE CONSTRUCTION,PMR ACCES,PLACES PARKING,ESPACE VERT EN M²,SURFACE BATIMENT M²,loyer,SURFACE PARCELLE M²,LIEN CARTE GOOGLE,EAU,ELEC,GAZ,Y,X,icon_url
3.9761346,46.4803216,"52",OFFICE DU TOURISME DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\OT DIG.png,"7, Rue Nationale","71160",DIGOIN,"5",M,BN-246,COMMUNAUTE DE COMMUNE LE VAL DE LOIRE,CO-propriétaire occupant,01/01/1984,RÉHABILITATION 2014,OUI,5 COMMUNE,"0","150",,"569",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.481158225082275%2C3.9753232372955516&z=18,X,X,".12174000000000",46.4803216,3.9761346,./0.png
4.1192435,46.4559169,"53",PAYS CHAROLAIS BRIONNAIS BATIMENT CHAMP SEIGNEUR,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\PAYS CHAROLAIS BRIONNAIS.png,"7, rue des Champs Seigneur","71600",PARAY LE MONIAL,X,X,AH-430                    ,COM DE COMMUNE DE PARAY,Propriétaire occupant,25/11/2003,RÉHABILITATION 2003/20004,OUI,18+1 PMR,"0","625", x ,"284",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.45763970400732%2C4.116823045616167&z=17,X,X,?,46.4559169,4.1192435,./0.png
4.096182,46.4191255,"59",PLATEFORME DECHETS VERT BON VIN PARAY LE MONIAL,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\LES BONS VINS.png,LES BONS VINS,"71600",PARAY LE MONIAL,X,X,D485,CC LE GRAND CHAROLAIS,Propriétaire occupant,31/07/2018,2 018,NON,"0",1 800,"30", X ,11302 ++ bassin confinement en cas incendie 1800 m3 ,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.419457775704736%2C4.09753814075362&z=18,X,X,,46.4191255,4.096182,./0.png
3.986444,46.4818483,"60",PORT DE PLAISANCE DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\PORT DIGOIN.png,"Rue du Port Campionnet Rive droite, ","71160",DIGOIN,X,X,domaine public fluvial,X,COT VNF,X,INCONNU,NON,27+1 PMR,,,,2125m² de plan d'eau,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.483433365016396%2C3.9874009879794414&z=18,X,X,,46.4818483,3.986444,./0.png
4.2757276,46.4366662,"61",RIAM CHAROLLES,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MULTI ACC + RIAM CHAROLLES.png,"5,esplanade des Provins",71 120,CHAROLLES,,,AC-78,COMMUNE DE CHAROLLES,,,,,,,"75", X ,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.43681171346433%2C4.275193231613339&z=18, ,".12105400000000",X,46.4366662,4.2757276,./0.png
4.1104643,46.5277352,"62",RIAM ST VINCENT BRAGNY,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\RIAM ST VINCENT BRAGNY.png,le bourg,"71430",ST VINCENT BRAGNY,X,X, BP-77              BP-76              BP-121,COMMUNE DE ST VINCENT BRAGNY,Occupant à titre gratuit,01/01/1970,INCONNU,NON,5 DEVANT + 25 COTE COMMUNE,"0","24",MIS A DISPO PAR LA VILLE,1208 + 680 + 1612 = 3500 M²,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.52881001708272%2C4.108350861624128&z=17,X,X,X,46.5277352,4.1104643,./0.png
4.2728274,46.4379261,"63",SALLE REUNION RPA CHAROLLES,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\RPA CHAROLLES.png,Les prés Fleuris 3. Route de génelard,"71120",CHAROLLES,X,X,AC- 187,COMMUNAUTE DE COMMUNES DU CANTON DE CHAROLLES,Propriétaire non occupant,03/07/1990,1990-1992,NON,"16","0","300",MIS A DISPO GRATUIT,6 800,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.460026602023724%2C4.273695090074154&z=17,X,".12130800000000",X,46.4379261,4.2728274,./0.png
4.05411,46.46892,"64",SANITAIRES BARBERECHE,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\BARBERECHE SANITAIRES.png,Lieu dit Barberèche,"71600",VITRY EN CHAROLLAIS,X,X,AE-202,SYNDICAT INTERCOMMUNAL DE LA ZI DE VITRY EN C,Propriétaire occupant,26/02/1987,INCONNU,NON,PARKING ZA,15 710,"14", X ,25 370,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.47032292431585%2C4.05228574019775&z=17,X,".12180300000000",,46.46892,4.05411,./0.png
4.1165587,46.4543851,"65",SIEGE CCLGC PARAY LE MONIAL,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\SIEGE CCLGC.png,32 rue Desrichard,"71600",PARAY LE MONIAL,"5",W,AE-501,CC LE GRAND CHAROLAIS,Propriétaire occupant,22/06/2017,INCONNU,OUI,10 PLACES DONT 2 ELEC + 1 PMR,"45","687", X ,"520",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.45450453356767%2C4.1163621318771515&z=18,X,30001210393870     (42 kW), ,46.4543851,4.1165587,./0.png
4.0989815,46.4676402,"66",SIEGE HIPPODROME BATIMENT MODULAIRE,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\SIEGE HIPPODROME CCLGC.png,BD DE L HIPPODROME,"71600",PARAY LE MONIAL,,,BM 254,CC LE GRAND CHAROLAIS,Propriétaire occupant,03/09/2021,,,,,"88",,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.467965875602424%2C4.099097224463795&z=19, ,300 012 130 863 49  cpteur 451, ,46.4676402,4.0989815,./0.png
4.0989815,46.4676402,"67",SIEGE HIPPODROME BATIMENT TECHNIQUE,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\SIEGE HIPPODROME CCLGC.png,BD DE L HIPPODROME,"71600",PARAY LE MONIAL,,,BM 254,CC LE GRAND CHAROLAIS,Propriétaire occupant,03/09/2021,,,,,1 134,,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.467965875602424%2C4.099097224463795&z=19, ,,,46.4676402,4.0989815,./0.png
4.0989815,46.4676402,"68",SIEGE HIPPODROME BATIMENT VENTE,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\SIEGE HIPPODROME CCLGC.png,BD DE L HIPPODROME,"71600",PARAY LE MONIAL,,,BM 254,CC LE GRAND CHAROLAIS,Propriétaire occupant,03/09/2021,,,,,"710",,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.467965875602424%2C4.099097224463795&z=19,X,X,,46.4676402,4.0989815,./0.png
3.85745,46.48513,"69",WC PUBLIC VOIE VERTE COULANGES,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\sanitaire coulanges.png,Lieu dit Mortillon,"3470",COULANGES,,,,,,,,,,,,,,,,".17336600000000",,46.48513,3.85745,./0.png
